1 - БАИРАМИ - А БАИРАМИ-257
2 - БАКЕР - А БАКЕР-1466
3 - БАМБА - А БАМБА-998
4 - ВАН ХООРЕНБЕЕЦК - А ВАН ХООРЕНБЕЕЦК-1439
5 - ВАНДЕН ДРИЕССЧЕ - А ВАНДЕН ДРИЕССЧЕ-373
6 - ВАРГА - А ВАРГА-1555
7 - ВАХЕР - А ВАХЕР-1606
8 - ГАБРИЕЛ - А ГАБРИЕЛ-935
9 - ГИАЦОМОНИ - А ГИАЦОМОНИ-449
10 - ГЛУШЧЕНКО - А ГЛУШЧЕНКО-1716
11 - ДАГХИМ - А ДАГХИМ-1258
12 - ДАНТЕ - А ДАНТЕ-1025
13 - ДЕ ЦОРТЕ - А ДЕ ЦОРТЕ-372
14 - ДОННЕЛЛ - А ДОННЕЛЛ-718
15 - ЕЛ ИДРИССИ - А ЕЛ ИДРИССИ-611
16 - ЕТ-ТАIБИ - А ЕТ-ТАIБИ-384
17 - ИЛЯЗИ - А ИЛЯЗИ-204
18 - КАБАР - А КАБАР-328
19 - КАРАТА - А КАРАТА-580
20 - КАРВАЦКИ - А КАРВАЦКИ-1030
21 - КАСАМИ - А КАСАМИ-1754
22 - КХАЛАИЛИ - А КХАЛАИЛИ-1874
23 - ЛАМИН - А ЛАМИН-705
24 - МИКОЛАС - А МИКОЛАС-1359
25 - МОНТАНАРИ - А МОНТАНАРИ-453
26 - МУСТАФИЦ - А МУСТАФИЦ-1375
27 - ОРДУ - А ОРДУ-465
28 - ПАССАНИТИ - А ПАССАНИТИ-444
29 - ПЕЦЦИ - А ПЕЦЦИ-461
30 - РАМСЕ - А РАМСЕ-1458
31 - РАМУЛА - А РАМУЛА-1641
32 - РАН - А РАН-730
33 - СКОГМАР - А СКОГМАР-895
34 - СЛИТИ - А СЛИТИ-1527
35 - СОЛАНКЕ - А СОЛАНКЕ-1743
36 - ТАПЕ - А ТАПЕ-1150
37 - ТАХО - А ТАХО-644
38 - ФАНГАИ - А ФАНГАИ-1814
39 - ХАДИ МОУССА - А ХАДИ МОУССА-1524
40 - ЦАЛЛИГАРИС - А ЦАЛЛИГАРИС-643
41 - ЦИФЦИС - А ЦИФЦИС-1042
42 - ЦОХЕН - А ЦОХЕН-854
43 - ЧИДИ - А ЧИДИ-1681
44 - ЯТТА - А ЯТТА-1296
1695 - ФЕРМИН ЛОПЕС - ФЕРМИН ЛОПЕС-238
1696 - ФЕРНАНДО МЕДЕИРО - ФЕРНАНДО МЕДЕИРО-1819
1697 - ФЕРНАНДО МУСЛЕРА - ФЕРНАНДО МУСЛЕРА-463
1698 - ФЕРРАН РУИЗ - ФЕРРАН РУИЗ-623
1699 - ФЕРРАН ТОРРЕС - ФЕРРАН ТОРРЕС-244
1700 - ФЕРРАН ЮТГЛА - ФЕРРАН ЮТГЛА-392
1701 - ФИКАИО ТОМОРИ - ФИКАИО ТОМОРИ-958
1702 - ФИЛИП КОСТИЧ - ФИЛИП КОСТИЧ-1546
1703 - ФИЛИП ПАНАК - ФИЛИП ПАНАК-1391
1704 - ФИЛИП УГРИНИЧ - ФИЛИП УГРИНИЧ-1910
1705 - ФИЛИП ФОДЕН - ФИЛИП ФОДЕН-922
1706 - ФИЛИПП КЕН - ФИЛИПП КЕН-981
1707 - ФИЛИППО ТЕРРАЧЧАНО - ФИЛИППО ТЕРРАЧЧАНО-970
1708 - ФИНН ЕЛЬЧ - ФИНН ЕЛЬЧ-1791
1709 - ФЛОРЕНТИНУ ЛУИШ - ФЛОРЕНТИНУ ЛУИШ-263
1710 - ФЛОРИАН ВИРТЦ - ФЛОРИАН ВИРТЦ-192
1711 - ФЛОРИН ТЭНАСЕ - ФЛОРИН ТЭНАСЕ-1591
1712 - ФОЛАРИН БАЛОГУН - ФОЛАРИН БАЛОГУН-1000
1713 - ФРАН ГАРСИЯ - ФРАН ГАРСИЯ-1216
1714 - ФРАНКО ИСРАЭЛЬ - ФРАНКО ИСРАЭЛЬ-1410
1715 - ФРАНКУЛИНУ ДЖУ - ФРАНКУЛИНУ ДЖУ-948
1716 - ФРАНСИШКУ КОНСЕИСАУ - ФРАНСИШКУ КОНСЕИСАУ-1842
1717 - ФРАНСИШКУ ТРИНКАН - ФРАНСИШКУ ТРИНКАН-1428
1718 - ФРАНЧЕСКО АЧЕРБИ - ФРАНЧЕСКО АЧЕРБИ-647
1719 - ФРАНЧЕСКО РОССИ - ФРАНЧЕСКО РОССИ-97
1720 - ФРАНЬО ИВАНОВИЧ - ФРАНЬО ИВАНОВИЧ-1869
1721 - ФРЕД - ФРЕД-1544
1722 - ФРЕДРИК АУРСНЕС - ФРЕДРИК АУРСНЕС-258
1723 - ФРЕДРИК БЬЕРКАН - ФРЕДРИК БЬЕРКАН-406
1724 - ФРЕНКИ ДЕ ИОНГ - ФРЕНКИ ДЕ ИОНГ-241
1725 - АДДО - Х АДДО-865
1726 - БЛАНК - Х БЛАНК-1235
1727 - БОЛИН - Х БОЛИН-896
1728 - МАТРАС - Х МАТРАС-700
1729 - НИИЕ - Х НИИЕ-1298
1730 - ПРЕНГА - Х ПРЕНГА-1293
1731 - ТЕКЛАБ - Х ТЕКЛАБ-1864
1732 - ТУРАН - Х ТУРАН-473
1733 - УКПА - Х УКПА-1755
1734 - ХАБИБ МАИГА - ХАБИБ МАИГА-1571
1735 - ХАВИ СИМОНС - ХАВИ СИМОНС-1198
1736 - ХАВЬЕР ГАЛАН - ХАВЬЕР ГАЛАН-133
1737 - ХАВЬЕР КИНТИЛЬЯ - ХАВЬЕР КИНТИЛЬЯ-8
1738 - ХАВЬЕР СЕРРАНО - ХАВЬЕР СЕРРАНО-145
1739 - ХАИТАМ АЛЕЭСАМИ - ХАИТАМ АЛЕЭСАМИ-404
1740 - ХАКАН ЧАЛХАНОГЛУ - ХАКАН ЧАЛХАНОГЛУ-660
1741 - ХАКОН АРНАР ХАРАЛЬДССОН - ХАКОН АРНАР ХАРАЛЬДССОН-769
1742 - ХАКОН ЭВЬЕН - ХАКОН ЭВЬЕН-416
1743 - ХАЛЛУР ХАНССОН - ХАЛЛУР ХАНССОН-709
1744 - ХАМЗА ИГАМАН - ХАМЗА ИГАМАН-1282
1745 - ХАНС ВАНАКЕН - ХАНС ВАНАКЕН-387
1746 - ХАНУС СЕРЕНСЕН - ХАНУС СЕРЕНСЕН-1669
1747 - ХАРАЛАМБОС ЛИКОЯННИС - ХАРАЛАМБОС ЛИКОЯННИС-282
1748 - ХАРВИ ДЭИВИС - ХАРВИ ДЭИВИС-735
1749 - ХАРВИ ЭЛЛИОТТ - ХАРВИ ЭЛЛИОТТ-747
1750 - ХАРРИ КЕИН - ХАРРИ КЕИН-174
1751 - ХАРРИ ПАНАИОТУ - ХАРРИ ПАНАИОТУ-729
1752 - ХАРРИСОН МАКГЭИХИ - ХАРРИСОН МАКГЭИХИ-1464
1753 - ХВАН ИН БОМ - ХВАН ИН БОМ-1510
1754 - ХВИЧА КВАРАЦХЕЛИЯ - ХВИЧА КВАРАЦХЕЛИЯ-1152
1755 - ХЕЛЬГИ ГУДЬОНССОН - ХЕЛЬГИ ГУДЬОНССОН-439
1756 - ХЕНДРИК БОНМАНН - ХЕНДРИК БОНМАНН-824
1757 - ХЕСУС ВАЛЬЕХО - ХЕСУС ВАЛЬЕХО-1215
1758 - ХЕСУС ИМАС - ХЕСУС ИМАС-1896
1759 - ХИДЭМАСА МОРИТА - ХИДЭМАСА МОРИТА-1418
1760 - ХИРОКИ ИТО - ХИРОКИ ИТО-160
1761 - ХИШАМ ЛАИОС - ХИШАМ ЛАИОС-874
1762 - ХИШАМ МАУ - ХИШАМ МАУ-810
1763 - ХОАКИН КОРРЕА - ХОАКИН КОРРЕА-672
1764 - ХОНИ КАСТРО - ХОНИ КАСТРО-1048
1765 - ХОРХЕ ВАЛИН - ХОРХЕ ВАЛИН-1483
1766 - ХОСЕ ХИМЕНЕС - ХОСЕ ХИМЕНЕС-128
1767 - ХОЭЛЬ ОРДОНЬЕС - ХОЭЛЬ ОРДОНЬЕС-375
1768 - ХРИСТОС ЗАФЕИРИС - ХРИСТОС ЗАФЕИРИС-1346
1769 - ХРИСТОС ЦОЛИС - ХРИСТОС ЦОЛИС-391
1770 - ХУАН КАБАЛЬ - ХУАН КАБАЛЬ-1831
1771 - ХУАН КАРЛОС - ХУАН КАРЛОС-612
1772 - ХУАН КУАДРАДО - ХУАН КУАДРАДО-110
1773 - ХУАН МИРАНДА - ХУАН МИРАНДА-286
1774 - ХУАН ПЕДРО - ХУАН ПЕДРО-1479
1775 - ХУАНПЕ - ХУАНПЕ-618
1776 - ХУАНХО НЬЕТО - ХУАНХО НЬЕТО-1664
1777 - ХУЛИАН АЛЬВАРЕС - ХУЛИАН АЛЬВАРЕС-149
1778 - ХУЛИАН КАРРАНСА - ХУЛИАН КАРРАНСА-1523
1779 - БАРРЕТТ - Ц БАРРЕТТ-1729
1780 - БАРРОН - Ц БАРРОН-1272
1781 - БОЛГЕР - Ц БОЛГЕР-720
1782 - ИØРГЕНСЕН - Ц ИØРГЕНСЕН-712
1783 - ЛХЕРНАУЛТ - Ц ЛХЕРНАУЛТ-1672
1784 - МАКРЕЦКИС - Ц МАКРЕЦКИС-1570
1785 - МЦФАРЛАНЕ - Ц МЦФАРЛАНЕ-912
1786 - НАДИЕ - Ц НАДИЕ-1519
1787 - НГАХ - Ц НГАХ-1091
1788 - НСИАЛА-МАКЕНГО - Ц НСИАЛА-МАКЕНГО-1267
1789 - ОЬСУЛЛИВАН - Ц ОЬСУЛЛИВАН-1730
1790 - ПОЛАК - Ц ПОЛАК-1881
1791 - РОБЕРЦ - Ц РОБЕРЦ-1459
1792 - РОСЛЕР - Ц РОСЛЕР-883
1793 - СИДИБЕ - Ц СИДИБЕ-1646
1794 - ЦАМПБЕЛЛ - Ц ЦАМПБЕЛЛ-342
1795 - ЦАНАС КАРАНАЦИОС - ЦАНАС КАРАНАЦИОС-23
1796 - ЦЕДРИК АППИАХ - ЦЕДРИК АППИАХ-36
1797 - ЧАГЛАР СЕЮНДЖЮ - ЧАГЛАР СЕЮНДЖЮ-1532
1798 - ЧАРЛЬЗ ВАНХУТТ - ЧАРЛЬЗ ВАНХУТТ-1867
1799 - ЧЕБАКЕ ИССАМ - ЧЕБАКЕ ИССАМ-9
1800 - ЧО ГЕ СОН - ЧО ГЕ СОН-949
1801 - ЧУБА АКПОМ - ЧУБА АКПОМ-781
1802 - ШАИЛО Т'ЗАНД - ШАИЛО Т'ЗАНД-1516
1803 - ШАРЛЬ ДЕ КЕТЕЛАРЕ - ШАРЛЬ ДЕ КЕТЕЛАРЕ-122
1804 - ШАХТРУДИН МАГОМЕДАЛИЕВ - ШАХТРУДИН МАГОМЕДАЛИЕВ-674
1805 - ШЕМСДИН ТАЛЬБИ - ШЕМСДИН ТАЛЬБИ-396
1806 - ШЕРИФ ЖИМО - ШЕРИФ ЖИМО-1010
1807 - ШЕРИФ НДИАИЕ - ШЕРИФ НДИАИЕ-1694
1808 - ШОЛА ШОРТАИР - ШОЛА ШОРТАИР-1066
1809 - ШОН ГРЭМ - ШОН ГРЭМ-719
1810 - ШТЕФАН ДРЛЯЧА - ШТЕФАН ДРЛЯЧА-1781
1811 - ШТЕФАН ОРТЕГА - ШТЕФАН ОРТЕГА-900
1812 - ШТЕФАН ТРНОВАНУ - ШТЕФАН ТРНОВАНУ-1581
1813 - ШТЕФАН ХИРЛЭНДЕР - ШТЕФАН ХИРЛЭНДЕР-1775
1814 - ШТЕФАН ШВАБ - ШТЕФАН ШВАБ-1059
1815 - ЭБРИМА КОЛЛИ - ЭБРИМА КОЛЛИ-1919
1816 - ЭВАНГЕЛОС АНТОНИОУ - ЭВАНГЕЛОС АНТОНИОУ-10
1817 - ЭГИНАЛЬДО - ЭГИНАЛЬДО-1711
1818 - ЭДАН ДИОП - ЭДАН ДИОП-997
1819 - ЭДВАРД МАКГИНТИ - ЭДВАРД МАКГИНТИ-1722
1820 - ЭДВАРД ЧИЛУФЬЯ - ЭДВАРД ЧИЛУФЬЯ-950
1821 - ЭДВИН КУРТУЛУШ - ЭДВИН КУРТУЛУШ-830
1822 - ЭДГАР МАЛАКЯН - ЭДГАР МАЛАКЯН-1170
1823 - ЭДЕР МИЛИТАО - ЭДЕР МИЛИТАО-1212
1824 - ЭДЕРСОН МОРАЕС - ЭДЕРСОН МОРАЕС-901
1825 - ЭДЕРСОН - ЭДЕРСОН-112
1826 - ЭДИ СЕМЕДУ - ЭДИ СЕМЕДУ-1887
1827 - ЭДИМИЛСОН ФЕРНАНДЕШ - ЭДИМИЛСОН ФЕРНАНДЕШ-348
1828 - ЭДИН ДЖЕКО - ЭДИН ДЖЕКО-1550
1829 - ЭДМОНД ТАПСОБА - ЭДМОНД ТАПСОБА-184
1830 - ЭДОН ЖЕГРОВА - ЭДОН ЖЕГРОВА-774
1831 - ЭДУАРДО ГЕРРЕРО - ЭДУАРДО ГЕРРЕРО-575
1832 - ЭДУАРДО КАМАВИНГА - ЭДУАРДО КАМАВИНГА-1221
1833 - ЭДУАРДУ КУАРЕЖМА - ЭДУАРДУ КУАРЕЖМА-1417
1834 - ЭЗЕКИЭЛЬ ПАЛАСИОС - ЭЗЕКИЭЛЬ ПАЛАСИОС-196
1835 - ЭЗРИ КОНСА - ЭЗРИ КОНСА-75
1836 - ЭКАИЦ ХИМЕНЕС - ЭКАИЦ ХИМЕНЕС-1482
1837 - ЭКТОР ФОРТ - ЭКТОР ФОРТ-233
1838 - ЭЛВИН ДЖАФАРКУЛИЕВ - ЭЛВИН ДЖАФАРКУЛИЕВ-684
1839 - ЭЛВИС СТУГЛИС - ЭЛВИС СТУГЛИС-1292
1840 - ЭЛДОН СИНАНИ - ЭЛДОН СИНАНИ-208
1841 - ЭЛИАС ИЕЛЕРТ КРИСТЕНСЕН - ЭЛИАС ИЕЛЕРТ КРИСТЕНСЕН-470
1842 - ЭЛИАС КОББАУТ - ЭЛИАС КОББАУТ-1395
1843 - ЭЛИАС-РАБН ОЛАФССОН - ЭЛИАС-РАБН ОЛАФССОН-931
1844 - ЭЛИВЕЛТО - ЭЛИВЕЛТО-1035
1845 - ЭЛИС БЕН СЕГИР - ЭЛИС БЕН СЕГИР-990
1846 - ЭЛЛИОТ ГОМЕС - ЭЛЛИОТ ГОМЕС-1491
1847 - ЭЛЬ ХАДАЛИ БИШАБУ - ЭЛЬ ХАДАЛИ БИШАБУ-1190
1848 - ЭЛЬ-БИЛАЛЬ ТУРЕ - ЭЛЬ-БИЛАЛЬ ТУРЕ-1800
1849 - ЭЛЬДАР ЧИВИЧ - ЭЛЬДАР ЧИВИЧ-1560
1850 - ЭМАНУЭЛЬ АИВУ - ЭМАНУЭЛЬ АИВУ-1767
1851 - ЭМЕРСОН РОДРИГЕС - ЭМЕРСОН РОДРИГЕС-840
1852 - ЭМИЛИАНО БУЭНДИА - ЭМИЛИАНО БУЭНДИА-193
1853 - ЭМИЛИАНО МАРТИНЕС - ЭМИЛИАНО МАРТИНЕС-71
1854 - ЭМИЛЬ ХОЛЬМ - ЭМИЛЬ ХОЛЬМ-278
1855 - ЭМИР КАРИЧ - ЭМИР КАРИЧ-1763
1856 - ЭММАНУЭЛЬ ЭКОНГ - ЭММАНУЭЛЬ ЭКОНГ-888
1857 - ЭМРАН СОГЛО - ЭМРАН СОГЛО-1772
1858 - ЭМРЕ ДЖАН - ЭМРЕ ДЖАН-336
1859 - ЭНДРИК - ЭНДРИК-1230
1860 - ЭНДРЮ РОБЕРТСОН - ЭНДРЮ РОБЕРТСОН-739
1861 - ЭНЗО МИИО - ЭНЗО МИИО-1794
1862 - ЭНТОНИ РАЛСТОН - ЭНТОНИ РАЛСТОН-1317
1863 - ЭНЦО ЭБОСС - ЭНЦО ЭБОСС-1882
1864 - ЭРАН ЗАХАВИ - ЭРАН ЗАХАВИ-870
1865 - ЭРЕН ЭЛЬМАЛ - ЭРЕН ЭЛЬМАЛ-468
1866 - ЭРИК БОТХЕИМ - ЭРИК БОТХЕИМ-899
1867 - ЭРИК ГАРСИЯ - ЭРИК ГАРСИЯ-232
1868 - ЭРИК ДАИЕР - ЭРИК ДАИЕР-158
1869 - ЭРКО ИОННЕ ТУГЬЯС - ЭРКО ИОННЕ ТУГЬЯС-1608
1870 - ЭРЛИНГ ХОЛАНД - ЭРЛИНГ ХОЛАНД-927
1871 - ЭРМАЛ КРАСНИКИ - ЭРМАЛ КРАСНИКИ-1403
1872 - ЭРМАН АБЕДИНИ - ЭРМАН АБЕДИНИ-214
1873 - ЭРМЕДИН ДЕМИРОВИЧ - ЭРМЕДИН ДЕМИРОВИЧ-1799
1874 - ЭРНЕСТАС ВЕЛЮЛИС - ЭРНЕСТАС ВЕЛЮЛИС-1031
1875 - ЭСМИР БАИРАКТАРЕВИЧ - ЭСМИР БАИРАКТАРЕВИЧ-1131
1876 - ЭСТАНИС ПЕДРОЛА - ЭСТАНИС ПЕДРОЛА-302
1877 - ЭТАН БРИТТО - ЭТАН БРИТТО-785
1878 - ЮЛИАН БРАНДТ - ЮЛИАН БРАНДТ-332
1879 - ЮЛИАН ЛУНД - ЮЛИАН ЛУНД-398
1880 - ЮЛИАН РЮЭРСОН - ЮЛИАН РЮЭРСОН-327
1881 - ЮЛИАН ШАБО - ЮЛИАН ШАБО-1790
1882 - ЮЛИУС СЕКЕ - ЮЛИУС СЕКЕ-1377
1883 - ЮНУС АКГЮН - ЮНУС АКГЮН-485
1884 - ЮНУС МУСА - ЮНУС МУСА-971
1885 - ЮРАИ КУЦКА - ЮРАИ КУЦКА-1376
1886 - ЮРИ ТИЛЕМАНС - ЮРИ ТИЛЕМАНС-85
1887 - ЮРИИ МЕДВЕДЕВ - ЮРИИ МЕДВЕДЕВ-1365
1888 - ЮРРИЕН ТИМБЕР - ЮРРИЕН ТИМБЕР-48
1889 - ЮССЕФ ЭЛЬ-АРАБИ - ЮССЕФ ЭЛЬ-АРАБИ-29
1890 - ЮССЕФ ЭН-НЕСЕРИ - ЮССЕФ ЭН-НЕСЕРИ-1551
1891 - ЮССУФ ПОУЛЬСЕН - ЮССУФ ПОУЛЬСЕН-1205
1892 - ЮССУФ ФОФАНА - ЮССУФ ФОФАНА-968
1893 - ЮСТИНАС ЯНУШЕВСКИС - ЮСТИНАС ЯНУШЕВСКИС-1026
1894 - ЮСУФ ДЕМИР - ЮСУФ ДЕМИР-487
1895 - ЮСУФ ОТУБАНЬО - ЮСУФ ОТУБАНЬО-1181
1896 - ЮХАН ДАЛИН - ЮХАН ДАЛИН-876
1897 - ЯИМЕ СИАИ - ЯИМЕ СИАИ-1492
1898 - ЯКОБ БРУУН ЛАРСЕН - ЯКОБ БРУУН ЛАРСЕН-1805
1899 - ЯКУБ КИВЕР - ЯКУБ КИВЕР-49
1900 - ЯКУБ МАРКОВИЧ - ЯКУБ МАРКОВИЧ-1334
1901 - ЯКУБ МОДЕР - ЯКУБ МОДЕР-1512
1902 - ЯКУБ ПЕТРОВСКИ - ЯКУБ ПЕТРОВСКИ-835
1903 - ЯКУП АНДРЕАСЕН - ЯКУП АНДРЕАСЕН-708
1904 - ЯН БОРЖИЛ - ЯН БОРЖИЛ-1342
1905 - ЯН КУХТА - ЯН КУХТА-1408
1906 - ЯН ОБЛАК - ЯН ОБЛАК-126
1907 - ЯН ОЛИВЕРАС - ЯН ОЛИВЕРАС-526
1908 - ЯН СИРОТНИК - ЯН СИРОТНИК-1337
1909 - ЯН ХЕН-ДЗЮН - ЯН ХЕН-ДЗЮН-1328
1910 - ЯНИС БЛАСВИХ - ЯНИС БЛАСВИХ-1231
1911 - ЯНИС ИКАУНИЕКС - ЯНИС ИКАУНИЕКС-1297
1912 - ЯНИС ХАДЖИ - ЯНИС ХАДЖИ-1275
1913 - ЯНИС ЧИМИНЬЯНИ - ЯНИС ЧИМИНЬЯНИ-812
1914 - ЯНН БИССЕК - ЯНН БИССЕК-650
1915 - ЯНН ЗОММЕР - ЯНН ЗОММЕР-640
1916 - ЯННИК КЕИТЕЛЬ - ЯННИК КЕИТЕЛЬ-1792
1917 - ЯННИС МИХАИЛИДИС - ЯННИС МИХАИЛИДИС-1043
1918 - ЯННИС-ФОИВОС БОТОС - ЯННИС-ФОИВОС БОТОС-1351
1919 - ЯНХЕЛЬ ЭРРЕРА - ЯНХЕЛЬ ЭРРЕРА-627
1920 - ЯРОСЛАВ ЗЕЛЕНИ - ЯРОСЛАВ ЗЕЛЕНИ-1393
1921 - ЯРОСЛАВ КУБИЦКИИ - ЯРОСЛАВ КУБИЦКИИ-1888
1922 - ЯСЕР АСПРИЛЬЯ - ЯСЕР АСПРИЛЬЯ-625
1923 - ЯССИН БЕНЗЬЯ - ЯССИН БЕНЗЬЯ-687
1924 - default - default
