1 - BAIRAMI - А БАИРАМИ-257
2 - BAKER - А БАКЕР-1466
3 - BAMBA - А БАМБА-998
4 - VAN HOORENBEECK - А ВАН ХООРЕНБЕЕЦК-1439
5 - VANDEN DRIESSCHE - А ВАНДЕН ДРИЕССЧЕ-373
6 - VARGA - А ВАРГА-1555
7 - WAHER - А ВАХЕР-1606
8 - GABRIEL - А ГАБРИЕЛ-935
9 - GIACOMONI - А ГИАЦОМОНИ-449
10 - GLUSHCHENKO - А ГЛУШЧЕНКО-1716
11 - DAGHIM - А ДАГХИМ-1258
12 - DANTE - А ДАНТЕ-1025
13 - DE ZORTE - А ДЕ ЦОРТЕ-372
14 - DONNELL - А ДОННЕЛЛ-718
15 - EL IDRISSI - А ЕЛ ИДРИССИ-611
16 - ET-TAIBI - А ЕТ-ТАIБИ-384
17 - ILYAZI - А ИЛЯЗИ-204
18 - KABAR - А КАБАР-328
19 - KARATA - А КАРАТА-580
20 - KARVACKI - А КАРВАЦКИ-1030
21 - KASAMI - А КАСАМИ-1754
22 - KHALAILI - А КХАЛАИЛИ-1874
23 - LAMIN - А ЛАМИН-705
24 - MIKOLAS - А МИКОЛАС-1359
25 - MONTANARI - А МОНТАНАРИ-453
26 - MUSTAFIC - А МУСТАФИЦ-1375
27 - ORDU - А ОРДУ-465
28 - PASSANITI - А ПАССАНИТИ-444
29 - PECCI - А ПЕЦЦИ-461
30 - RAMSE - А РАМСЕ-1458
31 - RAMULA - А РАМУЛА-1641
32 - RAN - А РАН-730
33 - SKOGMAR - А СКОГМАР-895
34 - SLITI - А СЛИТИ-1527
35 - SOLANKE - А СОЛАНКЕ-1743
36 - TAPE - А ТАПЕ-1150
37 - TAHO - А ТАХО-644
38 - FANGAI - А ФАНГАИ-1814
39 - HADI MOUSSA - А ХАДИ МОУССА-1524
40 - CALLIGARIS - А ЦАЛЛИГАРИС-643
41 - CIFCIS - А ЦИФЦИС-1042
42 - COHEN - А ЦОХЕН-854
43 - CHIDI - А ЧИДИ-1681
44 - YATTA - А ЯТТА-1296
1746 - KHANUS SERENSEN - ХАНУС СЕРЕНСЕН-1669
1747 - KHARALAMBOS LIKOYANNIS - ХАРАЛАМБОС ЛИКОЯННИС-282
1748 - KHARVI DEIVIS - ХАРВИ ДЭИВИС-735
1749 - KHARVI ELLIOTT - ХАРВИ ЭЛЛИОТТ-747
1750 - KHARRI KEIN - ХАРРИ КЕИН-174
1751 - KHARRI PANAIOTU - ХАРРИ ПАНАИОТУ-729
1752 - KHARRISON MAKGEIKHI - ХАРРИСОН МАКГЭИХИ-1464
1753 - KHVAN IN BOM - ХВАН ИН БОМ-1510
1754 - KHVICHA KVARATSKHELIYA - ХВИЧА КВАРАЦХЕЛИЯ-1152
1755 - KHELGI GUDONSSON - ХЕЛЬГИ ГУДЬОНССОН-439
1756 - KHENDRIK BONMANN - ХЕНДРИК БОНМАНН-824
1757 - KHESUS VALEKHO - ХЕСУС ВАЛЬЕХО-1215
1758 - KHESUS IMAS - ХЕСУС ИМАС-1896
1759 - KHIDEMASA MORITA - ХИДЭМАСА МОРИТА-1418
1760 - KHIROKI ITO - ХИРОКИ ИТО-160
1761 - KHISHAM LAIOS - ХИШАМ ЛАИОС-874
1762 - KHISHAM MAU - ХИШАМ МАУ-810
1763 - KHOAKIN KORREA - ХОАКИН КОРРЕА-672
1764 - KHONI KASTRO - ХОНИ КАСТРО-1048
1765 - KHORKHE VALIN - ХОРХЕ ВАЛИН-1483
1766 - KHOSE KHIMENES - ХОСЕ ХИМЕНЕС-128
1767 - KHOEL ORDONES - ХОЭЛЬ ОРДОНЬЕС-375
1768 - KHRISTOS ZAFEIRIS - ХРИСТОС ЗАФЕИРИС-1346
1769 - KHRISTOS TSOLIS - ХРИСТОС ЦОЛИС-391
1770 - KHUAN KABAL - ХУАН КАБАЛЬ-1831
1771 - KHUAN KARLOS - ХУАН КАРЛОС-612
1772 - KHUAN KUADRADO - ХУАН КУАДРАДО-110
1773 - KHUAN MIRANDA - ХУАН МИРАНДА-286
1774 - KHUAN PEDRO - ХУАН ПЕДРО-1479
1775 - KHUANPE - ХУАНПЕ-618
1776 - KHUANKHO NETO - ХУАНХО НЬЕТО-1664
1777 - KHULIAN ALVARES - ХУЛИАН АЛЬВАРЕС-149
1778 - KHULIAN KARRANSA - ХУЛИАН КАРРАНСА-1523
1779 - BARRETT - Ц БАРРЕТТ-1729
1780 - BARRON - Ц БАРРОН-1272
1781 - BOLGER - Ц БОЛГЕР-720
1782 - IØRGENSEN - Ц ИØРГЕНСЕН-712
1783 - LKHERNAULT - Ц ЛХЕРНАУЛТ-1672
1784 - MAKRETSKIS - Ц МАКРЕЦКИС-1570
1785 - MTSFARLANE - Ц МЦФАРЛАНЕ-912
1786 - NADIE - Ц НАДИЕ-1519
1787 - NGAKH - Ц НГАХ-1091
1788 - NSIALA-MAKENGO - Ц НСИАЛА-МАКЕНГО-1267
1789 - OSULLIVAN - Ц ОЬСУЛЛИВАН-1730
1790 - POLAK - Ц ПОЛАК-1881
1791 - ROBERTS - Ц РОБЕРЦ-1459
1792 - ROSLER - Ц РОСЛЕР-883
1793 - SIDIBE - Ц СИДИБЕ-1646
1794 - TSAMPBELL - Ц ЦАМПБЕЛЛ-342
1795 - TSANAS KARANATSIOS - ЦАНАС КАРАНАЦИОС-23
1796 - TSEDRIK APPIAKH - ЦЕДРИК АППИАХ-36
1797 - CHAGLAR SEYUNDZHYU - ЧАГЛАР СЕЮНДЖЮ-1532
1798 - CHARLZ VANKHUTT - ЧАРЛЬЗ ВАНХУТТ-1867
1799 - CHEBAKE ISSAM - ЧЕБАКЕ ИССАМ-9
1800 - CHO GE SON - ЧО ГЕ СОН-949
1801 - CHUBA AKPOM - ЧУБА АКПОМ-781
1802 - SHAILO T'ZAND - ШАИЛО Т'ЗАНД-1516
1803 - SHARL DE KETELARE - ШАРЛЬ ДЕ КЕТЕЛАРЕ-122
1804 - SHAKHTRUDIN MAGOMEDALIEV - ШАХТРУДИН МАГОМЕДАЛИЕВ-674
1805 - SHEMSDIN TALBI - ШЕМСДИН ТАЛЬБИ-396
1806 - SHERIF ZHIMO - ШЕРИФ ЖИМО-1010
1807 - SHERIF NDIAIE - ШЕРИФ НДИАИЕ-1694
1808 - SHOLA SHORTAIR - ШОЛА ШОРТАИР-1066
1809 - SHON GREM - ШОН ГРЭМ-719
1810 - SHTEFAN DRLYACHA - ШТЕФАН ДРЛЯЧА-1781
1811 - SHTEFAN ORTEGA - ШТЕФАН ОРТЕГА-900
1812 - SHTEFAN TRNOVANU - ШТЕФАН ТРНОВАНУ-1581
1813 - SHTEFAN KHIRLENDER - ШТЕФАН ХИРЛЭНДЕР-1775
1814 - SHTEFAN SHVAB - ШТЕФАН ШВАБ-1059
1815 - EBRIMA KOLLI - ЭБРИМА КОЛЛИ-1919
1816 - EVANGELOS ANTONIOU - ЭВАНГЕЛОС АНТОНИОУ-10
1817 - EGINALDO - ЭГИНАЛЬДО-1711
1818 - EDAN DIOP - ЭДАН ДИОП-997
1819 - EDVARD MAKGINTI - ЭДВАРД МАКГИНТИ-1722
1820 - EDVARD CHILUFYA - ЭДВАРД ЧИЛУФЬЯ-950
1821 - EDVIN KURTULUSH - ЭДВИН КУРТУЛУШ-830
1822 - EDGAR MALAKYAN - ЭДГАР МАЛАКЯН-1170
1823 - EDER MILITAO - ЭДЕР МИЛИТАО-1212
1824 - EDERSON MORAES - ЭДЕРСОН МОРАЕС-901
1825 - EDERSON - ЭДЕРСОН-112
1826 - EDI SEMEDU - ЭДИ СЕМЕДУ-1887
1827 - EDIMILSON FERNANDESH - ЭДИМИЛСОН ФЕРНАНДЕШ-348
1828 - EDIN DZHEKO - ЭДИН ДЖЕКО-1550
1829 - EDMOND TAPSOBA - ЭДМОНД ТАПСОБА-184
1830 - EDON ZHEGROVA - ЭДОН ЖЕГРОВА-774
1831 - EDUARDO GERRERO - ЭДУАРДО ГЕРРЕРО-575
1832 - EDUARDO KAMAVINGA - ЭДУАРДО КАМАВИНГА-1221
1833 - EDUARDU KUAREZHMA - ЭДУАРДУ КУАРЕЖМА-1417
1834 - EZEKIEL PALASIOS - ЭЗЕКИЭЛЬ ПАЛАСИОС-196
1835 - EZRI KONSA - ЭЗРИ КОНСА-75
1836 - EKAITS KHIMENES - ЭКАИЦ ХИМЕНЕС-1482
1837 - EKTOR FORT - ЭКТОР ФОРТ-233
1838 - ELVIN DZHAFARKULIEV - ЭЛВИН ДЖАФАРКУЛИЕВ-684
1839 - ELVIS STUGLIS - ЭЛВИС СТУГЛИС-1292
1840 - ELDON SINANI - ЭЛДОН СИНАНИ-208
1841 - ELIAS IELERT KRISTENSEN - ЭЛИАС ИЕЛЕРТ КРИСТЕНСЕН-470
1842 - ELIAS KOBBAUT - ЭЛИАС КОББАУТ-1395
1843 - ELIAS-RABN OLAFSSON - ЭЛИАС-РАБН ОЛАФССОН-931
1844 - ELIVELTO - ЭЛИВЕЛТО-1035
1845 - ELIS BEN SEGIR - ЭЛИС БЕН СЕГИР-990
1846 - ELLIOT GOMES - ЭЛЛИОТ ГОМЕС-1491
1847 - EL KHADALI BISHABU - ЭЛЬ ХАДАЛИ БИШАБУ-1190
1848 - EL-BILAL TURE - ЭЛЬ-БИЛАЛЬ ТУРЕ-1800
1849 - ELDAR CHIVICH - ЭЛЬДАР ЧИВИЧ-1560
1850 - EMANUEL AIVU - ЭМАНУЭЛЬ АИВУ-1767
1851 - EMERSON RODRIGES - ЭМЕРСОН РОДРИГЕС-840
1852 - EMILIANO BUENDIA - ЭМИЛИАНО БУЭНДИА-193
1853 - EMILIANO MARTINES - ЭМИЛИАНО МАРТИНЕС-71
1854 - EMIL KHOLM - ЭМИЛЬ ХОЛЬМ-278
1855 - EMIR KARICH - ЭМИР КАРИЧ-1763
1856 - EMMANUEL EKONG - ЭММАНУЭЛЬ ЭКОНГ-888
1857 - EMRAN SOGLO - ЭМРАН СОГЛО-1772
1858 - EMRE DZHAN - ЭМРЕ ДЖАН-336
1859 - ENDRIK - ЭНДРИК-1230
1860 - ENDRYU ROBERTSON - ЭНДРЮ РОБЕРТСОН-739
1861 - ENZO MIIO - ЭНЗО МИИО-1794
1862 - ENTONI RALSTON - ЭНТОНИ РАЛСТОН-1317
1863 - ENTSO EBOSS - ЭНЦО ЭБОСС-1882
1864 - ERAN ZAKHAVI - ЭРАН ЗАХАВИ-870
1865 - EREN ELMAL - ЭРЕН ЭЛЬМАЛ-468
1866 - ERIK BOTKHEIM - ЭРИК БОТХЕИМ-899
1867 - ERIK GARSIYA - ЭРИК ГАРСИЯ-232
1868 - ERIK DAIER - ЭРИК ДАИЕР-158
1869 - ERKO IONNE TUGYAS - ЭРКО ИОННЕ ТУГЬЯС-1608
1870 - ERLING KHOLAND - ЭРЛИНГ ХОЛАНД-927
1871 - ERMAL KRASNIKI - ЭРМАЛ КРАСНИКИ-1403
1872 - ERMAN ABEDINI - ЭРМАН АБЕДИНИ-214
1873 - ERMEDIN DEMIROVICH - ЭРМЕДИН ДЕМИРОВИЧ-1799
1874 - ERNESTAS VELYULIS - ЭРНЕСТАС ВЕЛЮЛИС-1031
1875 - ESMIR BAIRAKTAREVICH - ЭСМИР БАИРАКТАРЕВИЧ-1131
1876 - ESTANIS PEDROLA - ЭСТАНИС ПЕДРОЛА-302
1877 - ETAN BRITTO - ЭТАН БРИТТО-785
1878 - YULIAN BRANDT - ЮЛИАН БРАНДТ-332
1879 - YULIAN LUND - ЮЛИАН ЛУНД-398
1880 - YULIAN RYUERSON - ЮЛИАН РЮЭРСОН-327
1881 - YULIAN SHABO - ЮЛИАН ШАБО-1790
1882 - YULIUS SEKE - ЮЛИУС СЕКЕ-1377
1883 - YUNUS AKGYUN - ЮНУС АКГЮН-485
1884 - YUNUS MUSA - ЮНУС МУСА-971
1885 - YURAI KUTSKA - ЮРАИ КУЦКА-1376
1886 - YURI TILEMANS - ЮРИ ТИЛЕМАНС-85
1887 - YURII MEDVEDEV - ЮРИИ МЕДВЕДЕВ-1365
1888 - YURRIEN TIMBER - ЮРРИЕН ТИМБЕР-48
1889 - YUSSEF EL-ARABI - ЮССЕФ ЭЛЬ-АРАБИ-29
1890 - YUSSEF EN-NESERI - ЮССЕФ ЭН-НЕСЕРИ-1551
1891 - YUSSUF POULSEN - ЮССУФ ПОУЛЬСЕН-1205
1892 - YUSSUF FOFANA - ЮССУФ ФОФАНА-968
1893 - YUSTINAS YANUSHEVSKIS - ЮСТИНАС ЯНУШЕВСКИС-1026
1894 - YUSUF DEMIR - ЮСУФ ДЕМИР-487
1895 - YUSUF OTUBANO - ЮСУФ ОТУБАНЬО-1181
1896 - YUKHAN DALIN - ЮХАН ДАЛИН-876
1897 - YAIME SIAI - ЯИМЕ СИАИ-1492
1898 - YAKOB BRUUN LARSEN - ЯКОБ БРУУН ЛАРСЕН-1805
1899 - YAKUB KIVER - ЯКУБ КИВЕР-49
1900 - YAKUB MARKOVICH - ЯКУБ МАРКОВИЧ-1334
1901 - YAKUB MODER - ЯКУБ МОДЕР-1512
1902 - YAKUB PETROVSKI - ЯКУБ ПЕТРОВСКИ-835
1903 - YAKUP ANDREASEN - ЯКУП АНДРЕАСЕН-708
1904 - YAN BORZHIL - ЯН БОРЖИЛ-1342
1905 - YAN KUKHTA - ЯН КУХТА-1408
1906 - YAN OBLAK - ЯН ОБЛАК-126
1907 - YAN OLIVERAS - ЯН ОЛИВЕРАС-526
1908 - YAN SIROTNIK - ЯН СИРОТНИК-1337
1909 - YAN KHEN-DZYUN - ЯН ХЕН-ДЗЮН-1328
1910 - YANIS BLASVIKH - ЯНИС БЛАСВИХ-1231
1911 - YANIS IKAUNIEKS - ЯНИС ИКАУНИЕКС-1297
1912 - YANIS KHADZHI - ЯНИС ХАДЖИ-1275
1913 - YANIS CHIMINYANI - ЯНИС ЧИМИНЬЯНИ-812
1914 - YANN BISSEK - ЯНН БИССЕК-650
1915 - YANN ZOMMER - ЯНН ЗОММЕР-640
1916 - YANNIK KEITEL - ЯННИК КЕИТЕЛЬ-1792
1917 - YANNIS MIKHAILIDIS - ЯННИС МИХАИЛИДИС-1043
1918 - YANNIS-FOIVOS BOTOS - ЯННИС-ФОИВОС БОТОС-1351
1919 - YANKHEL ERRERA - ЯНХЕЛЬ ЭРРЕРА-627
1920 - YAROSLAV ZELENI - ЯРОСЛАВ ЗЕЛЕНИ-1393
1921 - YAROSLAV KUBITSKII - ЯРОСЛАВ КУБИЦКИИ-1888
1922 - YASER ASPRILYA - ЯСЕР АСПРИЛЬЯ-625
1923 - YASSIN BENZYA - ЯССИН БЕНЗЬЯ-687
1924 - default - default
